"Garvey, Raven",,,,,,,,
Current and potential roles for archaeology in the development of cultural evolutionary theory,,,,,,,,
Philosophical Transactions B,,,,,,,,
17-Nov-17,,,,,,,,
,,,,,,,,
projectile point attribute measurements used in simulation of within-house learning:,,,,,,,,
wash_weight,wash_thick,wash_length,wash_midlength,wash_width,wash_basewidth,wash_bladelength,wash_haftlength,wash_neck
0.29,1.97,12.63,12.33,8.55,7.71,6.6,4.02,4.01
0.29,2.05,13.87,12.97,8.81,7.84,7.01,4.1,4.15
0.3,2.1,14.09,13.08,9.19,8.17,8.28,4.23,4.3
0.3,2.18,14.14,13.15,9.24,8.51,8.66,4.25,4.35
0.31,2.24,14.32,13.23,9.47,8.76,8.83,4.3,4.36
0.32,2.27,14.46,14,9.57,8.8,8.88,4.41,4.36
0.4,2.28,14.95,14.21,9.73,8.87,8.98,4.79,4.39
0.4,2.28,15.28,14.27,9.87,8.88,9.38,4.83,4.46
0.4,2.29,15.31,14.37,9.96,8.99,9.5,4.86,4.48
0.4,2.29,15.66,14.47,10.23,9,9.68,4.87,4.55
0.4,2.32,15.88,14.49,10.28,9.19,9.77,4.97,4.6
0.4,2.35,15.9,14.71,10.29,9.27,10.08,4.98,4.73
0.4,2.36,15.97,14.9,10.31,9.33,10.14,4.98,4.78
0.4,2.41,16.04,14.93,10.32,9.47,10.22,4.99,4.79
0.41,2.41,16.1,14.96,10.35,9.52,10.45,5,4.81
0.42,2.42,16.16,15.01,10.38,9.57,10.6,5.01,4.91
0.45,2.43,16.24,15.35,10.39,9.6,10.66,5.11,4.98
0.45,2.44,16.28,15.4,10.4,9.6,10.68,5.11,5.01
0.48,2.45,16.71,15.64,10.42,9.67,10.94,5.15,5.01
0.48,2.45,16.79,15.85,10.46,9.81,10.98,5.18,5.02
0.49,2.45,16.91,15.96,10.46,9.99,10.98,5.22,5.15
0.49,2.46,17.12,16.07,10.49,10.03,10.99,5.24,5.16
0.5,2.47,17.19,16.19,10.5,10.1,10.99,5.27,5.17
0.5,2.47,17.22,16.29,10.51,10.16,11.17,5.3,5.2
0.5,2.47,17.53,16.3,10.52,10.21,11.27,5.34,5.2
0.5,2.47,17.53,16.65,10.52,10.23,11.29,5.34,5.22
0.5,2.48,17.69,16.73,10.57,10.28,11.42,5.36,5.25
0.5,2.48,17.73,16.94,10.58,10.29,11.6,5.37,5.25
0.5,2.49,17.83,17,10.6,10.32,11.72,5.39,5.25
0.5,2.5,17.93,17.01,10.62,10.32,11.98,5.46,5.27
0.5,2.5,18.04,17.17,10.64,10.32,12.15,5.51,5.28
0.5,2.51,18.23,17.31,10.67,10.33,12.17,5.52,5.33
0.5,2.51,18.24,17.33,10.67,10.35,12.29,5.52,5.36
0.5,2.53,18.29,17.37,10.71,10.37,12.35,5.56,5.39
0.5,2.54,18.31,17.43,10.72,10.39,12.44,5.62,5.41
0.5,2.54,18.44,17.51,10.73,10.4,12.52,5.63,5.42
0.5,2.54,18.7,17.67,10.74,10.41,12.62,5.67,5.42
0.5,2.54,18.73,17.71,10.77,10.46,12.69,5.7,5.43
0.52,2.55,18.83,17.73,10.78,10.49,12.75,5.71,5.43
0.53,2.55,18.88,17.92,10.84,10.5,12.76,5.72,5.44
0.56,2.56,19.07,18.09,10.85,10.52,12.82,5.72,5.44
0.58,2.56,19.1,18.15,10.86,10.52,12.97,5.74,5.46
0.6,2.56,19.1,18.19,10.87,10.57,13,5.76,5.49
0.6,2.56,19.11,18.2,10.93,10.58,13.02,5.78,5.52
0.6,2.56,19.26,18.39,10.94,10.62,13.03,5.79,5.54
0.6,2.56,19.34,18.45,10.96,10.64,13.03,5.84,5.57
0.6,2.57,19.44,18.47,10.97,10.67,13.06,5.93,5.57
0.6,2.58,19.45,18.61,11.02,10.67,13.1,5.94,5.58
0.6,2.59,19.49,18.63,11.03,10.68,13.19,5.95,5.58
0.63,2.6,19.6,18.67,11.03,10.72,13.19,5.96,5.59
0.64,2.6,19.62,18.81,11.13,10.72,13.34,5.97,5.59
0.65,2.6,19.96,18.84,11.13,10.73,13.37,5.97,5.6
0.68,2.6,20,19,11.17,10.77,13.42,5.98,5.6
0.69,2.61,20.01,19.03,11.23,10.78,13.72,5.99,5.64
0.7,2.61,20.04,19.07,11.27,10.84,13.76,5.99,5.65
0.7,2.61,20.18,19.08,11.28,10.84,13.76,6,5.65
0.7,2.61,20.22,19.25,11.31,10.87,13.79,6.01,5.68
0.7,2.62,20.25,19.26,11.32,10.9,13.87,6.01,5.75
0.7,2.62,20.35,19.28,11.35,10.93,13.88,6.01,5.75
0.7,2.63,20.54,19.34,11.42,10.96,13.9,6.04,5.75
0.7,2.63,20.68,19.36,11.43,11.03,14.15,6.07,5.76
0.7,2.63,20.72,19.56,11.44,11.07,14.36,6.08,5.78
0.7,2.64,20.74,19.57,11.46,11.13,14.42,6.09,5.78
0.7,2.64,20.76,19.64,11.5,11.21,14.54,6.13,5.79
0.7,2.65,20.81,19.67,11.5,11.23,14.61,6.14,5.81
0.7,2.65,20.88,19.67,11.51,11.27,14.61,6.15,5.81
0.7,2.65,21.09,19.74,11.53,11.28,14.64,6.18,5.82
0.72,2.65,21.13,19.82,11.53,11.29,14.69,6.2,5.84
