sitename,full_sitename,lat_dd,long_dd
BG,Bonggok,35.81666667,127.1
GRR,Goryeri,35.480008,128.941141
HDR,Hwadaeri,37.96666667,127.3351111
HG,Haga,35.63333333,127.2201667
HHGR,Hahwagyeri,37.56027778,127.5688889
HP,Hopyeongdong,37.76972222,127.0875
JGN,Jingeuneul,35.88669,127.469556
JJR,Jungjangri,35.66666667,127.9166667
JM,Jungmal,37.129039,128.250224
JS,Juksan,34.978513,127.245347
MK,Mungyeong,36.609222,128.223123
SAR,Songamri,37.00222222,"	127.7"
SB,Sinbook,34.74166667,126.9972222
SC,Sachang,34.945636,126.976329
SJR,Seokjangri,36.446749,127.189826
SYG1,Suyanggae location1,36.958669,128.331833
SYG6,Suyanggae location6,36.938147,128.29966
WP,Wolpyeng,34.917482,127.271831
YH,Yonghodong,"	36.4486111111111",127.452575
YS,Yongsandong,36.42194444,127.3966667
